Number of CPU cores: 64
Seed for process 64305: 644159420
Seed for process 64305: 644159422
Seed for process 64301: 644159415
Seed for process 64303: 644159417
Seed for process 64303: 644159478
Seed for process 64297: 644159410
Seed for process 64302: 644159416
Seed for process 64306: 644159421
Seed for process 64304: 644159419
Seed for process 64333: 644159485
Seed for process 64328: 644159468
Seed for process 64299: 644159413
Seed for process 64309: 644159425
Seed for process 64293: 644159405
Seed for process 64310: 644159426
Seed for process 64311: 644159439
Seed for process 64300: 644159414
Seed for process 64300: 644159416
Seed for process 64313: 644159430
Seed for process 64312: 644159431
Seed for process 64332: 644159480
Seed for process 64343: 644159511
Seed for process 64295: 644159408
Seed for process 64294: 644159407
Seed for process 64345: 644159509
Seed for process 64326: 644159465
Seed for process 64329: 644159473
Seed for process 64330: 644159478
Seed for process 64330: 644159480
Seed for process 64331: 644159488
Seed for process 64348: 644159516
Seed for process 64355: 644159531
Seed for process 64298: 644159411
Seed for process 64350: 644159520
Seed for process 64349: 644159525
Seed for process 64339: 644159492
Seed for process 64334: 644159487
Seed for process 64334: 644159489
Seed for process 64324: 644159464
Seed for process 64341: 644159503
Seed for process 64307: 644159422
Seed for process 64307: 644159425
Seed for process 64307: 644159504
Seed for process 64352: 644159523
Seed for process 64342: 644159508
Seed for process 64317: 644159435
Seed for process 64314: 644159444
Seed for process 64320: 644159452
Seed for process 64315: 644159433
Seed for process 64315: 644159501
Seed for process 64327: 644159479
Seed for process 64308: 644159423
Seed for process 64308: 644159425
Seed for process 64308: 644159499
Seed for process 64325: 644159466
Seed for process 64296: 644159409
Seed for process 64296: 644159479
Seed for process 64319: 644159438
Seed for process 64344: 644159517
Seed for process 64318: 644159449
Seed for process 64321: 644159449
Seed for process 64337: 644159490
Seed for process 64335: 644159496
Seed for process 64323: 644159462
0.5289256198347108
