Number of CPU cores: 64
Seed for process 89806: 645438806
Seed for process 89787: 645438694
Seed for process 89818: 645438865
Seed for process 89800: 645438776
Seed for process 89808: 645438816
Seed for process 89799: 645438771
Seed for process 89764: 645438584
Seed for process 89779: 645438640
Seed for process 89755: 645438573
Seed for process 89794: 645438743
Seed for process 89784: 645438672
Seed for process 89793: 645438732
Seed for process 89798: 645438770
Seed for process 89759: 645438578
Seed for process 89763: 645438583
Seed for process 89761: 645438580
Seed for process 89816: 645438855
Seed for process 89813: 645438840
Seed for process 89791: 645438723
Seed for process 89786: 645438690
Seed for process 89810: 645438825
Seed for process 89757: 645438575
Seed for process 89796: 645438761
Seed for process 89771: 645438593
Seed for process 89811: 645438830
Seed for process 89760: 645438579
Seed for process 89778: 645438639
Seed for process 89782: 645438657
Seed for process 89795: 645438753
Seed for process 89785: 645438682
Seed for process 89809: 645438821
Seed for process 89776: 645438615
Seed for process 89773: 645438602
Seed for process 89769: 645438590
Seed for process 89783: 645438671
Seed for process 89805: 645438801
Seed for process 89768: 645438589
Seed for process 89817: 645438860
Seed for process 89765: 645438585
Seed for process 89812: 645438835
Seed for process 89780: 645438654
Seed for process 89766: 645438587
Seed for process 89801: 645438781
Seed for process 89792: 645438729
Seed for process 89762: 645438581
Seed for process 89767: 645438588
Seed for process 89775: 645438614
Seed for process 89804: 645438800
Seed for process 89770: 645438592
Seed for process 89797: 645438764
Seed for process 89758: 645438577
Seed for process 89756: 645438574
Seed for process 89777: 645438629
Seed for process 89781: 645438655
Seed for process 89802: 645438786
Seed for process 89788: 645438708
Seed for process 89803: 645438794
Seed for process 89774: 645438603
Seed for process 89790: 645438717
Seed for process 89807: 645438811
Seed for process 89772: 645438594
Seed for process 89814: 645438845
Seed for process 89789: 645438709
Seed for process 89815: 645438850
5.632892926186659e-05
