Number of CPU cores: 64
Seed for process 65619: 644191171
Seed for process 65622: 644191175
Seed for process 65614: 644191165
Seed for process 65642: 644191275
Seed for process 65632: 644191212
Seed for process 65612: 644191162
Seed for process 65641: 644191265
Seed for process 65628: 644191182
Seed for process 65631: 644191207
Seed for process 65640: 644191264
Seed for process 65613: 644191163
Seed for process 65627: 644191181
Seed for process 65615: 644191166
Seed for process 65675: 644191437
Seed for process 65645: 644191302
Seed for process 65629: 644191183
Seed for process 65652: 644191341
Seed for process 65651: 644191331
Seed for process 65623: 644191176
Seed for process 65671: 644191427
Seed for process 65657: 644191366
Seed for process 65667: 644191409
Seed for process 65655: 644191356
Seed for process 65648: 644191317
Seed for process 65626: 644191180
Seed for process 65626: 644191367
Seed for process 65620: 644191172
Seed for process 65670: 644191420
Seed for process 65654: 644191355
Seed for process 65633: 644191222
Seed for process 65647: 644191311
Seed for process 65665: 644191399
Seed for process 65658: 644191371
Seed for process 65644: 644191288
Seed for process 65669: 644191415
Seed for process 65624: 644191177
Seed for process 65649: 644191323
Seed for process 65638: 644191249
Seed for process 65673: 644191431
Seed for process 65639: 644191251
Seed for process 65646: 644191303
Seed for process 65635: 644191237
Seed for process 65663: 644191395
Seed for process 65661: 644191386
Seed for process 65672: 644191426
Seed for process 65653: 644191349
Seed for process 65616: 644191167
Seed for process 65650: 644191326
Seed for process 65668: 644191414
Seed for process 65618: 644191169
Seed for process 65660: 644191376
Seed for process 65656: 644191361
Seed for process 65637: 644191248
Seed for process 65636: 644191238
Seed for process 65636: 644191438
Seed for process 65625: 644191178
Seed for process 65617: 644191168
Seed for process 65659: 644191379
Seed for process 65643: 644191283
Seed for process 65621: 644191173
Seed for process 65630: 644191197
Seed for process 65634: 644191223
Seed for process 65666: 644191413
Seed for process 65664: 644191401
0.16326530612244897
