Number of CPU cores: 64
Seed for process 62742: 644331464
Seed for process 62736: 644331444
Seed for process 62730: 644331436
Seed for process 62725: 644331430
Seed for process 62753: 644331528
Seed for process 62723: 644331428
Seed for process 62763: 644331587
Seed for process 62737: 644331445
Seed for process 62744: 644331475
Seed for process 62738: 644331446
Seed for process 62732: 644331439
Seed for process 62739: 644331447
Seed for process 62741: 644331451
Seed for process 62755: 644331542
Seed for process 62728: 644331434
Seed for process 62786: 644331716
Seed for process 62766: 644331602
Seed for process 62745: 644331483
Seed for process 62747: 644331498
Seed for process 62733: 644331440
Seed for process 62731: 644331438
Seed for process 62750: 644331515
Seed for process 62773: 644331640
Seed for process 62781: 644331681
Seed for process 62776: 644331655
Seed for process 62743: 644331466
Seed for process 62749: 644331509
Seed for process 62727: 644331433
Seed for process 62775: 644331650
Seed for process 62740: 644331450
Seed for process 62746: 644331485
Seed for process 62758: 644331557
Seed for process 62774: 644331645
Seed for process 62771: 644331632
Seed for process 62752: 644331519
Seed for process 62724: 644331429
Seed for process 62751: 644331518
Seed for process 62780: 644331668
Seed for process 62777: 644331660
Seed for process 62734: 644331441
Seed for process 62760: 644331574
Seed for process 62761: 644331580
Seed for process 62729: 644331435
Seed for process 62784: 644331705
Seed for process 62765: 644331597
Seed for process 62735: 644331443
Seed for process 62754: 644331536
Seed for process 62772: 644331638
Seed for process 62764: 644331592
Seed for process 62779: 644331667
Seed for process 62762: 644331582
Seed for process 62769: 644331617
Seed for process 62767: 644331607
Seed for process 62757: 644331553
Seed for process 62783: 644331699
Seed for process 62785: 644331711
Seed for process 62756: 644331548
Seed for process 62726: 644331432
Seed for process 62778: 644331665
Seed for process 62782: 644331691
Seed for process 62748: 644331500
Seed for process 62759: 644331566
Seed for process 62768: 644331612
Seed for process 62770: 644331624
0.42953020134228187
