Number of CPU cores: 64
Seed for process 62063: 644157201
Seed for process 62066: 644157205
Seed for process 62071: 644157210
Seed for process 62090: 644157247
Seed for process 62072: 644157212
Seed for process 62067: 644157206
Seed for process 62068: 644157207
Seed for process 62059: 644157196
Seed for process 62059: 644157200
Seed for process 62064: 644157202
Seed for process 62064: 644157205
Seed for process 62065: 644157203
Seed for process 62065: 644157207
Seed for process 62107: 644157298
Seed for process 62105: 644157291
Seed for process 62105: 644157293
Seed for process 62103: 644157291
Seed for process 62103: 644157293
Seed for process 62093: 644157262
Seed for process 62101: 644157277
Seed for process 62080: 644157221
Seed for process 62074: 644157214
Seed for process 62074: 644157262
Seed for process 62099: 644157274
Seed for process 62104: 644157284
Seed for process 62075: 644157215
Seed for process 62075: 644157281
Seed for process 62114: 644157307
Seed for process 62108: 644157303
Seed for process 62079: 644157220
Seed for process 62077: 644157217
Seed for process 62076: 644157216
Seed for process 62060: 644157198
Seed for process 62102: 644157279
Seed for process 62096: 644157275
Seed for process 62117: 644157311
Seed for process 62106: 644157296
Seed for process 62106: 644157299
Seed for process 62062: 644157200
Seed for process 62062: 644157290
Seed for process 62112: 644157311
Seed for process 62110: 644157308
Seed for process 62088: 644157248
Seed for process 62083: 644157233
Seed for process 62083: 644157235
Seed for process 62061: 644157199
Seed for process 62061: 644157276
Seed for process 62109: 644157302
Seed for process 62086: 644157236
Seed for process 62070: 644157209
Seed for process 62078: 644157218
Seed for process 62089: 644157245
Seed for process 62100: 644157283
Seed for process 62097: 644157272
Seed for process 62085: 644157236
Seed for process 62092: 644157253
Seed for process 62095: 644157266
Seed for process 62058: 644157195
Seed for process 62073: 644157213
Seed for process 62073: 644157269
Seed for process 62069: 644157208
Seed for process 62069: 644157282
Seed for process 62115: 644157316
Seed for process 62081: 644157222
0.3395225464190981
